POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
1B,Keston Hiura,R,R,99,95,80,73,98,79,67,102,81,74,94,69,62,Normal,Pull,Pull,1,23,1,69,1,1,27,1,80,1,1,-,1,1,5,41,38,48,50,51,47,43,87,-,58,32,27,16,51,23,41,50,49,15,70,No,81774,Silver,141,101,129,Yes,N,0
C,Carson Kelly,R,R,69,71,78,65,81,92,87,69,77,62,78,89,87,Normal,Normal,Normal,1,29,1,85,1,1,27,1,81,1,1,-,69,62,78,48,46,56,46,44,46,54,96,68,80,40,38,26,46,16,40,35,16,14,28,No,81987,Silver,127,0,125,Yes,N,0
2B,Brandon Lowe,L,R,81,81,74,73,93,74,69,81,77,79,94,77,74,Normal,Ex. Pull,Pull,1,25,1,74,1,1,24,1,72,1,1,-,2,2,5,60,69,49,64,56,58,51,115,-,69,64,51,45,60,33,52,20,72,19,65,No,81905,Silver,269,155,240,Yes,N,0
3B,Manny Machado,R,R,77,77,81,71,87,83,88,78,81,71,88,80,86,Normal,Ex. Pull,Pull,1,27,1,81,1,1,28,1,83,1,-,-,-,-,-,64,79,73,55,68,61,82,124,-,96,69,71,57,81,56,79,16,75,32,44,No,81752,Silver,192,105,192,Yes,N,0
SP,Joe McGinnity,R,R,22,33,61,36,1,24,82,18,53,57,1,39,78,Normal,Spray,Spray,60,83,90,110,70,66,75,94,70,78,101,72,-,-,-,30,17,23,23,8,8,1,55,-,-,-,-,-,-,-,-,55,51,42,48,No,84052,Silver,123,0,123,Yes,N,0
1B,Mark McGwire,R,R,24,13,21,15,144,145,30,28,26,14,130,121,26,Flyball,Spray,Spray,1,3,1,1,5,1,4,1,2,5,1,13,-,-,-,27,36,28,23,4,4,1,-,-,61,-,-,-,-,-,-,9,16,4,9,No,83997,Silver,127,0,138,Yes,N,0
CF,Parker Meadows,L,R,80,81,75,83,68,81,70,80,78,84,77,87,78,Normal,Spray,Spray,1,26,4,77,1,1,28,5,80,2,12,-,2,2,2,16,4,49,12,91,82,74,30,-,25,-,-,-,108,90,102,110,82,60,72,No,82399,Silver,258,0,224,Yes,N,0
RP,A.J. Minter,L,L,15,15,17,24,4,15,19,16,18,25,5,16,20,Normal,Normal,Normal,95,78,82,77,79,90,79,80,83,78,13,65,4,4,4,18,48,65,22,36,35,16,79,-,46,-,-,-,27,-,5,20,10,13,39,No,82074,Silver,181,115,148,Yes,N,0
2B,Dylan Moore,R,R,72,76,74,71,99,86,73,71,65,71,100,79,60,Flyball,Spray,Spray,1,30,1,89,1,1,26,1,77,1,1,-,1,1,1,65,70,55,69,65,65,58,119,-,80,71,58,52,73,48,65,86,83,96,57,No,82048,Silver,136,101,132,Yes,N,0
RF,Tyler O'Neill,R,R,75,76,72,58,108,87,69,75,70,59,100,83,66,Normal,Ex. Pull,Pull,1,26,8,76,1,1,25,8,74,1,3,-,2,2,5,16,18,53,16,62,62,61,45,-,25,-,-,-,70,44,63,17,76,33,69,No,82643,Silver,181,130,228,No,N,0
CF,Jim O'Rourke,R,R,71,71,79,176,89,60,89,71,78,174,88,59,87,Line Drive,Spray,Spray,1,1,1,1,1,1,1,1,1,1,1,5,56,55,64,31,32,34,38,67,62,68,-,53,38,-,6,-,77,53,72,77,84,93,73,No,83733,Silver,122,0,123,Yes,N,0
SP,Brandon Pfaadt,R,R,21,21,20,34,7,30,20,21,20,34,7,30,20,Normal,Normal,Normal,68,70,92,76,68,76,77,97,79,76,70,44,2,2,1,30,13,44,21,8,20,28,56,-,47,-,-,-,-,-,-,21,4,18,42,No,81858,Silver,174,110,180,Yes,N,0
CF,Jim Piersall,R,R,45,32,69,95,91,89,100,50,77,71,76,78,108,Normal,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,1,-,-,-,2,8,9,6,84,97,103,-,-,-,-,-,-,110,88,111,61,75,57,64,No,83688,Silver,316,101,355,Yes,N,0
SP,Quinn Priester,R,R,32,34,30,32,26,18,23,32,28,30,25,17,22,Normal,Pull,Pull,67,81,77,87,79,74,84,81,81,86,66,44,3,3,4,39,23,70,23,41,50,72,79,-,62,11,29,-,48,16,46,41,39,42,41,No,81922,Silver,131,0,131,Yes,N,0
SP,Bob Purkey,R,R,20,23,15,69,46,66,7,19,15,66,44,53,11,Normal,Pull,Pull,50,76,91,84,73,48,86,130,86,86,72,115,-,-,-,35,32,33,32,1,5,6,77,-,-,-,-,-,-,-,-,36,6,4,28,No,84048,Silver,300,155,278,Yes,N,0
2B,Miguel Rojas,R,R,73,73,86,69,66,69,103,74,84,67,61,66,97,Normal,Spray,Normal,1,27,1,79,1,1,28,1,82,1,-,-,6,6,6,92,82,77,86,55,54,62,145,-,84,106,91,88,61,34,56,16,76,31,54,No,81775,Silver,136,110,145,Yes,N,0
RF,Anthony Santander,S,R,56,59,67,66,110,87,77,55,69,70,106,85,83,Normal,Ex. Pull,Pull,1,29,1,87,1,1,27,1,79,1,-,-,-,-,-,23,37,37,17,62,56,66,69,-,49,-,6,-,69,44,65,2,16,4,44,No,82500,Silver,136,0,143,Yes,N,0
2B,Casey Schmitt,R,R,89,89,87,79,88,66,85,90,86,79,85,64,82,Normal,Pull,Pull,49,62,50,80,54,57,67,55,89,57,18,39,1,1,4,70,69,77,48,42,48,78,123,-,90,68,70,57,49,18,49,23,72,17,48,No,81712,Silver,297,162,399,Yes,N,0
LF,Davis Schneider,R,R,68,66,63,74,92,127,62,69,65,73,89,115,62,Normal,Pull,Pull,1,23,2,69,1,1,27,2,81,1,8,-,1,1,2,61,64,74,50,52,56,54,115,-,64,60,63,48,56,28,49,47,77,21,56,No,82499,Silver,171,102,170,No,N,0
1B,Harry Simpson,L,R,75,60,69,63,85,66,80,81,90,86,86,65,98,Normal,Spray,Normal,44,46,60,38,50,44,59,60,78,50,49,69,1,1,1,48,42,41,34,70,88,79,91,-,72,-,-,-,88,62,84,56,64,22,49,No,84484,Silver,140,0,145,Yes,N,0
C,Clyde Sukeforth,L,R,124,131,127,51,4,58,108,122,135,81,28,63,130,Groundball,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,23,64,59,69,3,2,6,8,9,6,10,-,61,-,-,-,-,-,-,-,68,74,69,66,No,85017,Silver,134,101,130,Yes,N,0
SP,Bill Swift,R,R,31,34,27,63,2,42,13,30,28,54,4,27,27,Normal,Normal,Normal,39,82,109,100,73,61,75,121,85,70,70,95,-,-,-,30,25,26,23,3,3,4,63,-,-,-,-,-,-,-,-,5,6,4,5,No,83241,Silver,264,101,370,Yes,N,0
CF,Leody Taveras,S,R,88,89,88,73,72,73,86,88,88,73,73,73,87,Normal,Spray,Spray,1,25,1,75,1,1,25,1,73,1,1,-,1,1,1,20,23,55,16,85,82,64,56,-,35,-,10,-,99,79,91,64,91,74,65,No,82639,Silver,196,130,212,Yes,N,0
SP,Tommy Thomas,R,R,21,32,27,14,2,59,19,17,19,22,4,37,20,Normal,Spray,Spray,87,85,50,116,70,114,75,61,63,81,70,79,-,-,-,29,44,33,26,8,6,3,79,-,-,-,-,-,-,-,-,10,6,5,15,No,84284,Silver,399,202,444,Yes,N,0
LF,Arky Vaughan,L,R,103,87,61,4,4,70,24,111,126,74,70,99,129,Groundball,Spray,Spray,1,3,1,1,4,1,3,1,1,4,1,15,-,-,-,64,78,60,40,59,102,44,-,-,-,-,60,49,71,-,-,60,74,44,62,No,85024,Silver,122,0,125,No,N,0
LF,Taylor Ward,R,R,82,85,81,82,79,103,79,82,78,86,80,98,76,Normal,Pull,Pull,1,29,5,80,4,1,30,8,74,8,45,-,30,30,57,30,38,70,16,57,58,61,81,25,55,7,30,-,64,37,58,18,67,19,43,No,82635,Silver,155,101,154,Yes,N,0
RP,Keaton Winn,R,R,26,26,22,16,3,16,18,26,22,16,3,16,18,Normal,Normal,Normal,72,79,89,73,82,73,83,89,79,85,27,31,3,3,2,22,1,48,19,25,15,28,36,-,30,-,-,-,14,-,-,14,16,8,19,No,81723,Silver,135,0,124,Yes,N,0
SS,Willy Adames,R,R,74,73,72,87,89,80,72,75,73,85,89,77,73,Normal,Ex. Pull,Pull,1,27,1,80,1,1,29,1,85,1,-,-,3,3,4,85,77,74,75,60,58,57,137,-,87,93,82,77,67,41,59,31,73,45,56,No,81720,Silver,218,101,200,No,N,0
LF,Randy Arozarena,R,R,92,92,82,85,81,90,73,93,81,84,78,87,70,Normal,Pull,Pull,1,25,3,74,1,1,26,3,77,1,9,-,1,1,1,53,52,48,41,54,54,60,100,-,68,44,37,28,60,32,54,44,80,69,77,No,82239,Silver,210,150,210,Yes,N,0
SP,Dan Bankhead,R,R,75,75,60,70,70,64,36,75,59,70,69,64,35,Normal,Spray,Spray,109,94,57,72,105,122,100,59,73,114,74,60,1,1,1,29,46,33,23,72,59,59,80,-,-,-,-,-,-,-,-,35,11,3,28,No,84884,Silver,2 518,1 782,2 600,Yes,N,0
3B,Bo Bichette,R,R,98,98,99,78,74,63,96,98,98,76,74,61,94,Groundball,Spray,Normal,1,24,1,72,1,1,25,1,75,1,1,-,1,1,1,70,72,64,67,67,61,60,124,-,82,76,67,59,75,51,68,18,61,22,74,No,82083,Silver,146,115,150,Yes,N,0
SP,Mordecai Brown,S,R,18,27,26,52,2,33,27,16,22,42,5,47,28,Normal,Spray,Spray,72,84,94,102,75,71,69,93,59,74,80,68,-,-,-,29,39,34,35,2,8,10,78,-,-,-,-,-,-,-,-,59,75,65,49,No,82677,Silver,132,0,124,Yes,N,0
RF,Alex Call,R,R,65,67,76,67,86,116,88,65,74,74,79,101,86,Normal,Pull,Pull,1,29,1,87,1,1,27,1,81,1,1,-,1,1,1,28,36,46,16,59,59,76,76,-,45,3,15,-,70,43,68,31,67,34,60,No,81767,Silver,142,110,140,Yes,N,0
3B,Ed Charles,R,R,69,69,82,61,62,77,99,70,79,83,84,82,92,Normal,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,14,-,-,-,68,74,80,46,7,4,7,-,-,-,-,73,-,-,-,-,67,83,65,63,No,84372,Silver,127,0,138,Yes,N,0
RP,Watty Clark,L,L,12,7,9,32,2,25,8,14,15,23,4,30,16,Normal,Normal,Normal,92,68,73,47,79,92,83,81,97,76,25,53,-,-,-,33,40,32,23,3,7,6,79,-,-,-,-,-,-,-,-,5,6,4,5,No,84283,Silver,934,450,997,Yes,N,0
SP,Ray Collins,L,L,30,21,19,60,24,99,17,32,29,80,35,81,23,Normal,Pull,Pull,63,69,115,59,74,60,77,114,85,73,78,56,-,-,-,27,35,27,18,10,1,1,70,-,-,-,-,-,-,-,-,35,6,5,28,No,84055,Silver,126,0,125,Yes,N,0
1B,Charlie Comiskey,R,R,76,82,111,85,68,44,161,74,103,79,62,38,159,Groundball,Normal,Normal,48,60,51,59,61,47,56,52,47,61,25,2,-,-,-,77,56,66,64,52,58,50,-,-,81,76,-,-,-,-,48,78,101,98,75,No,84177,Silver,166,0,123,Yes,N,0
3B,Billy Cox,R,R,60,40,77,66,88,82,124,63,83,79,78,76,110,Normal,Pull,Pull,1,3,1,1,5,1,4,1,2,5,1,7,-,-,-,50,77,65,57,4,9,10,-,-,-,57,59,44,-,-,-,29,58,23,39,No,83709,Silver,158,120,180,Yes,N,0
LF,Johnny Davis,R,R,64,64,73,88,88,90,85,64,73,88,88,90,85,Normal,Pull,Spray,45,54,63,38,62,44,53,63,36,62,64,65,1,1,1,25,21,22,19,75,62,69,53,-,-,-,-,-,86,64,-,59,70,25,51,No,84492,Silver,138,0,147,Yes,N,0
SP,Phil Douglas,R,R,10,17,15,21,7,50,13,8,18,32,4,32,27,Normal,Spray,Spray,79,87,110,118,72,93,66,108,54,72,68,33,-,-,-,35,18,25,23,4,9,9,63,-,-,-,-,-,-,-,-,51,68,69,35,No,83311,Silver,122,0,125,Yes,N,0
LF,Paul Easterling,R,R,129,122,77,94,82,67,33,131,82,69,101,70,40,Groundball,Spray,Spray,1,3,1,1,4,1,3,1,1,4,1,12,-,-,-,4,3,7,5,56,52,52,-,-,-,-,-,-,60,-,52,64,57,47,69,No,84683,Silver,144,101,128,No,N,0
LF,Chuck Essegian,R,R,69,81,69,68,138,82,59,66,64,44,127,104,64,Flyball,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,14,-,-,-,6,2,6,10,60,122,45,-,-,-,-,-,-,78,47,64,18,6,3,57,No,85320,Silver,150,102,121,No,N,0
C,Bill Freehan,R,R,62,93,88,45,34,103,82,39,62,83,90,90,79,Normal,Normal,Normal,1,1,1,2,1,1,1,1,1,1,1,5,75,55,86,40,54,39,31,5,7,8,-,71,74,-,-,-,-,-,-,47,85,14,42,No,84369,Silver,214,0,205,Yes,N,0
CF,Gid Gardner,R,R,70,74,71,108,73,100,69,69,64,91,71,112,61,Normal,Normal,Normal,43,42,58,44,41,45,43,59,42,44,25,15,-,-,-,55,52,42,59,59,62,47,-,-,-,52,37,-,64,38,54,72,85,54,59,No,84576,Silver,145,0,139,Yes,N,0
RP,Kevin Ginkel,L,R,24,24,24,18,10,18,24,24,24,18,10,18,24,Normal,Normal,Normal,90,85,76,71,92,87,87,74,77,93,15,49,2,2,1,13,31,52,17,13,21,29,55,-,39,-,-,-,-,-,-,16,8,15,24,No,81857,Silver,156,101,160,Yes,N,0
1B,Paul Goldschmidt,R,R,88,94,93,82,81,86,89,87,83,80,80,81,79,Normal,Normal,Normal,1,28,1,83,1,1,24,1,71,1,3,-,-,-,-,29,37,33,38,18,22,38,77,-,59,16,7,-,10,-,-,8,76,16,83,No,82571,Silver,302,130,310,Yes,N,0
SP,Tommy Hanson,R,R,2,2,5,4,1,9,2,2,5,4,1,4,3,Normal,Spray,Spray,75,91,77,77,98,66,79,78,84,77,69,33,-,-,-,31,20,25,23,7,3,2,60,-,-,-,-,-,-,-,-,5,6,3,5,No,83224,Silver,176,0,165,Yes,N,0
RP,Brant Hurter,L,L,23,23,16,15,2,18,9,23,16,15,2,18,9,Normal,Normal,Normal,78,88,96,89,88,69,79,92,83,77,33,67,3,3,2,30,23,40,17,13,22,31,64,-,58,-,-,-,-,-,-,20,15,4,42,No,82414,Silver,172,0,200,Yes,N,0
SS,Fred Hutchinson,R,R,30,31,69,95,86,73,104,30,68,94,84,72,101,Normal,Normal,Spray,10,18,11,34,10,10,16,11,31,9,10,12,1,1,1,97,72,94,84,55,62,68,-,-,-,107,99,93,-,-,60,73,71,70,62,No,84479,Silver,159,0,175,Yes,N,0
1B,Monte Irvin,R,R,79,57,68,58,74,90,80,85,83,112,92,72,81,Normal,Normal,Normal,1,2,1,1,3,1,3,1,3,3,1,11,-,-,-,54,26,54,40,64,83,48,-,-,65,-,30,-,74,-,63,54,44,20,63,No,84383,Silver,132,0,140,Yes,N,0
SP,Hisashi Iwakuma,R,R,1,1,4,3,1,4,1,1,4,3,1,4,1,Normal,Normal,Normal,53,61,142,74,55,73,67,138,81,60,73,115,-,-,-,31,20,24,23,7,5,1,59,-,-,-,-,-,-,-,-,13,6,4,22,No,83234,Silver,111,0,112,No,N,0
RP,Kevin Kelly,R,R,22,22,18,19,6,14,14,22,19,19,6,14,15,Normal,Normal,Normal,75,78,104,83,76,76,86,102,97,81,16,38,4,4,3,34,25,60,14,25,18,40,76,-,54,4,21,-,17,-,8,17,17,12,22,No,82541,Silver,162,105,169,Yes,N,0
RF,Trevor Larnach,L,R,88,88,80,73,74,89,74,89,84,79,75,94,80,Normal,Pull,Pull,1,45,16,76,30,1,50,17,79,36,43,-,1,1,1,17,47,62,11,49,53,53,76,-,54,-,16,-,52,23,45,20,63,20,50,No,82338,Silver,130,101,134,No,N,0
RF,Fred Long,R,R,71,72,82,99,87,65,95,71,80,97,85,64,93,Normal,Normal,Spray,1,11,1,20,7,1,11,1,21,7,1,4,1,1,1,9,5,5,9,72,57,62,-,-,-,-,-,-,80,58,73,54,13,15,34,No,84485,Silver,126,0,132,Yes,N,0
2B,Davey Lopes,R,R,70,88,95,67,74,115,100,64,74,61,63,97,87,Normal,Normal,Normal,1,5,1,1,7,1,5,1,1,7,1,6,-,-,-,88,64,57,71,9,4,3,-,-,-,89,-,-,-,-,-,85,89,89,100,No,83755,Silver,108,0,158,No,N,0
SS,Otto Lopez,R,R,93,94,97,78,65,67,97,93,96,76,65,64,95,Groundball,Spray,Spray,1,28,1,83,1,1,27,1,81,1,-,-,-,-,-,77,69,63,68,68,61,55,127,-,73,81,68,63,75,52,67,72,77,56,57,No,82108,Silver,267,117,269,Yes,N,0
CF,Eddie Milner,L,L,49,45,67,95,44,78,86,51,78,71,66,88,110,Normal,Normal,Normal,1,1,1,1,1,1,1,1,1,1,1,3,-,-,-,7,10,3,3,95,91,96,-,-,-,-,-,-,119,101,118,70,75,84,65,No,84144,Silver,116,101,116,Yes,N,0
RP,Mason Montgomery,L,L,17,17,17,16,8,14,17,17,17,16,8,14,17,Normal,Normal,Normal,98,81,73,70,87,90,75,71,67,79,25,57,3,3,1,44,61,49,30,15,3,3,99,-,80,-,-,-,-,-,-,10,3,8,18,No,81916,Silver,179,105,179,Yes,N,0
CF,Pedro Pages,S,L,64,64,77,89,48,86,94,65,80,91,51,88,99,Line Drive,Normal,Normal,1,9,1,19,5,1,9,1,18,5,1,22,1,1,1,29,29,28,27,96,67,70,-,-,36,-,-,-,109,94,102,73,81,67,65,No,84481,Silver,134,0,132,Yes,N,0
SP,Jim Palmer,R,R,7,4,7,21,1,12,6,9,10,15,3,17,8,Normal,Normal,Normal,60,75,62,54,86,84,86,76,132,63,99,33,-,-,-,30,32,32,36,7,7,9,73,-,-,-,-,-,-,-,-,17,6,5,29,No,82674,Silver,112,0,120,No,N,0
SP,Ryan Pepiot,R,R,21,21,23,13,11,16,25,21,23,13,11,16,25,Normal,Normal,Normal,83,78,75,104,66,84,79,76,101,68,55,36,2,2,2,25,32,62,15,15,19,31,73,-,52,-,21,-,1,-,-,16,15,16,19,No,82546,Silver,151,101,138,Yes,N,0
2B,Charlie Pick,L,R,60,54,79,66,71,80,114,62,97,84,50,60,175,Normal,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,10,-,-,-,88,45,57,61,2,10,2,-,-,-,79,58,-,-,-,-,68,57,72,53,No,82881,Silver,962,299,725,Yes,N,0
2B,Jorge Polanco,S,R,67,67,77,66,90,80,90,67,75,67,91,86,85,Normal,Ex. Pull,Pull,1,26,5,76,1,1,26,5,76,1,10,-,-,-,-,49,57,56,54,63,53,66,102,-,69,47,44,32,71,46,66,13,67,25,56,No,82082,Silver,317,133,300,No,N,0
LF,Heliot Ramos,R,R,94,95,88,71,85,72,80,94,86,69,83,68,77,Groundball,Pull,Pull,1,26,7,76,1,1,26,6,77,1,3,-,1,1,3,14,14,54,6,57,59,67,39,-,22,-,-,-,65,38,61,35,67,25,56,No,81716,Silver,156,0,150,Yes,N,0
C,Ellie Rodriguez,R,R,85,72,80,67,43,140,91,89,96,57,34,102,102,Groundball,Normal,Normal,1,1,1,1,2,1,2,1,2,2,1,14,64,56,63,8,1,10,9,3,5,8,-,57,-,-,-,-,-,-,-,40,41,24,40,No,83969,Silver,255,155,223,Yes,N,0
3B,Al Rosen,R,R,53,67,87,67,100,93,115,46,71,73,72,86,96,Normal,Spray,Spray,1,1,1,1,1,1,1,1,1,1,1,16,-,-,-,70,66,80,40,1,10,3,-,-,71,-,70,-,-,-,-,34,44,25,39,No,83620,Silver,278,155,269,Yes,N,0
SP,Dick Rudolph,R,R,6,5,24,61,2,57,34,7,17,82,5,54,27,Line Drive,Normal,Normal,61,75,97,77,74,54,82,117,103,72,96,93,-,-,-,31,36,30,23,1,7,5,76,-,-,-,-,-,-,-,-,79,77,89,76,No,83229,Silver,133,0,135,Yes,N,0
1B,Nolan Schanuel,L,R,76,75,84,68,70,91,95,77,87,71,74,92,98,Normal,Ex. Pull,Pull,1,25,7,73,1,1,27,7,80,1,7,6,1,1,1,32,32,38,43,44,46,49,77,-,62,19,13,-,45,14,37,19,76,17,51,No,82304,Silver,146,101,145,Yes,N,0
CF,Casey Stengel,L,L,77,61,65,75,66,82,71,82,85,72,90,72,88,Normal,Pull,Pull,1,1,1,1,2,1,2,1,2,2,1,25,-,-,-,7,9,2,4,67,78,57,-,-,-,-,-,-,78,52,69,62,72,57,61,No,83673,Silver,348,125,325,Yes,N,0
SS,Ezequiel Tovar,R,R,92,92,85,110,74,59,78,93,84,112,72,55,75,Normal,Pull,Pull,1,26,1,76,1,1,26,1,77,1,-,-,-,-,-,91,76,83,87,58,69,71,142,-,89,103,91,87,69,41,65,50,63,32,69,No,81820,Silver,218,117,200,Yes,N,0
RF,George Watkins,L,R,80,93,78,66,62,113,66,76,82,90,84,78,90,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,14,-,-,-,7,4,9,3,58,44,78,-,-,-,-,-,-,65,39,65,55,71,80,69,No,83703,Silver,201,124,223,Yes,N,0
CL,Jack Aker,R,R,1,1,5,3,1,3,2,1,5,3,1,3,2,Normal,Normal,Normal,49,107,81,90,116,54,98,99,107,94,25,115,-,-,-,29,35,38,51,8,4,1,77,-,-,-,-,-,-,-,-,9,6,3,13,No,83227,Silver,172,101,200,Yes,N,0
RP,Drew Anderson,R,R,22,23,22,18,4,22,21,22,21,18,4,21,20,Normal,Normal,Normal,95,69,72,80,64,94,68,71,78,63,39,52,-,-,-,22,14,45,14,33,37,36,46,-,36,-,-,-,28,-,18,18,22,12,20,No,82420,Silver,269,222,270,Yes,N,0
SP,Bill Byrd,S,R,58,57,56,73,70,70,56,59,59,75,75,72,60,Normal,Normal,Spray,62,74,102,70,76,64,79,104,81,78,72,60,1,1,1,29,30,28,25,53,59,65,68,-,-,-,-,-,60,-,56,33,11,4,29,No,84446,Silver,139,104,145,Yes,N,0
CF,Colton Cowser,L,R,92,94,73,76,76,83,49,92,75,77,78,86,61,Groundball,Pull,Normal,1,25,1,75,1,1,25,1,74,1,1,-,3,3,4,36,39,66,35,67,76,70,85,-,65,24,34,-,80,55,75,40,85,59,69,No,82633,Silver,172,111,198,Yes,N,0
RF,Sam Crawford,L,L,79,67,102,93,90,60,179,83,94,86,73,62,105,Normal,Spray,Spray,1,5,1,1,7,1,5,1,2,7,1,9,-,-,-,10,6,5,7,43,109,60,-,-,13,-,-,-,60,24,52,86,92,88,80,No,83704,Silver,137,0,130,Yes,N,0
2B,Jack Crooks,R,R,52,52,66,92,84,125,79,52,66,92,83,124,78,Line Drive,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,25,-,-,-,54,68,31,53,10,4,5,-,-,-,53,31,-,-,-,-,76,91,88,71,No,83695,Silver,267,155,420,Yes,N,0
SP,Dave Danforth,L,L,5,3,6,35,1,11,5,6,9,20,1,22,10,Normal,Normal,Normal,93,70,62,48,81,90,85,65,98,79,77,81,-,-,-,27,27,26,23,3,10,3,62,-,-,-,-,-,-,-,-,38,49,42,31,No,82822,Silver,359,288,377,Yes,N,0
SP,Roosevelt Davis,R,R,25,25,38,49,34,50,55,26,39,49,35,50,56,Normal,Pull,Normal,62,75,100,71,77,64,79,104,80,79,68,60,1,1,1,29,27,27,25,45,56,56,65,-,-,-,-,-,49,-,-,8,6,5,28,No,84456,Silver,167,121,222,Yes,N,0
CL,Camilo Doval,R,R,19,19,19,16,14,27,19,19,19,16,14,29,19,Normal,Normal,Normal,97,81,67,77,83,99,91,66,90,92,15,61,3,3,1,25,53,56,33,3,3,3,85,-,59,18,29,-,-,-,-,21,23,15,25,No,82582,Silver,177,105,168,Yes,N,0
SP,Willis Flournoy,L,L,42,41,35,72,21,61,31,43,37,74,24,62,33,Normal,Normal,Normal,73,79,75,82,78,71,77,73,83,75,77,60,1,1,1,29,25,26,25,53,59,65,63,-,-,-,-,-,-,-,56,33,11,3,28,No,84453,Silver,220,113,189,Yes,N,0
CF,Chick Fullis,R,R,80,100,112,65,67,75,115,72,92,53,63,72,120,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,17,-,-,-,68,52,42,59,70,63,63,-,-,-,62,-,-,79,56,-,59,71,80,62,No,82907,Silver,360,101,333,Yes,N,0
SP,Mel Harder,R,R,12,7,12,34,3,43,16,14,15,53,4,37,15,Normal,Spray,Spray,60,56,96,49,60,81,90,88,112,79,79,115,-,-,-,29,23,24,20,5,1,2,60,-,-,-,-,-,-,-,-,15,6,3,27,No,83215,Silver,289,151,280,Yes,N,0
1B,Dick Hoblitzel,L,L,81,71,91,57,60,63,118,84,105,82,71,74,135,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,17,-,-,-,64,66,59,46,5,5,6,-,-,79,31,-,-,-,-,-,77,85,67,72,No,83655,Silver,149,0,143,Yes,N,0
1B,Eric Hosmer,L,L,80,80,92,72,76,79,105,80,91,77,81,82,102,Normal,Normal,Normal,1,2,1,1,3,1,2,1,1,3,1,18,-,-,-,40,62,44,31,6,8,5,-,-,84,-,-,-,-,-,-,48,72,54,56,No,84151,Silver,111,0,114,No,N,0
CF,Torii Hunter,R,R,51,66,63,124,71,76,62,44,64,81,89,56,81,Normal,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,20,-,-,-,10,2,5,4,103,82,101,-,-,-,-,-,-,-,112,127,67,70,64,76,No,83735,Silver,115,101,121,No,N,0
CF,Sanford Jackson,R,R,54,56,72,59,21,96,90,54,70,57,19,93,86,Normal,Spray,Pull,1,7,1,19,1,1,7,1,19,1,1,22,1,1,1,79,65,77,70,106,73,74,-,-,-,83,75,68,122,110,-,72,81,65,64,No,84470,Silver,142,0,158,Yes,N,0
1B,Harmon Killebrew,R,R,30,25,26,40,122,148,28,32,42,43,122,131,55,Flyball,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,11,-,-,-,53,57,52,39,6,2,3,-,-,74,-,42,-,-,-,-,31,6,4,22,No,83976,Silver,122,0,128,No,N,0
3B,Tommy Leach,R,R,72,71,86,44,77,80,104,73,89,81,31,76,110,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,6,-,-,-,83,69,81,52,78,74,78,-,-,-,-,79,70,93,71,-,85,84,71,97,No,84370,Silver,308,163,278,Yes,N,0
SP,Red Lucas,L,R,73,63,67,54,1,67,72,77,79,53,2,73,83,Groundball,Normal,Normal,41,68,83,71,67,60,90,117,110,81,92,101,-,-,-,32,53,36,24,1,6,7,86,-,-,-,-,-,-,-,-,25,58,24,42,No,83222,Silver,289,101,280,Yes,N,0
RP,Chris Martin,R,R,18,19,63,54,4,18,99,18,62,51,3,16,97,Normal,Pull,Pull,80,72,118,69,74,78,72,114,70,73,14,60,-,-,-,17,44,28,17,-,-,-,66,-,60,-,-,-,-,-,-,10,5,13,12,No,82218,Silver,132,0,135,Yes,N,0
LF,Jake McCarthy,L,L,96,96,95,94,41,68,91,97,97,94,51,69,94,Line Drive,Spray,Spray,1,25,1,75,1,1,25,1,74,1,1,-,1,1,1,27,29,47,16,75,75,61,69,-,49,-,-,-,86,64,79,104,83,68,81,No,81809,Silver,179,117,160,Yes,N,0
2B,Matt McLain,R,R,86,86,77,78,76,97,70,87,76,79,76,92,67,Normal,Normal,Normal,1,24,1,72,1,1,26,1,76,1,1,-,2,2,1,72,80,49,70,68,66,46,127,-,77,80,62,59,74,50,63,47,84,58,58,No,81958,Silver,130,102,138,Yes,N,0
